id,title,employer,salary,gender,years_exp,Location,duties,comments,employer_clean,base_salary_clean,sal_flag,years_exp_clean,location_clean,title_category,geonix
27,Digital Coordinator,BH Media,"$35,500 ",cis mixed female,4 years of digital journalism experience,Virginia,"Manage social media feeds and engage with site's audience, work with reporters to make sure website is up to date, publish daily newsletters, schedule features, track analytics using Google Analytics/Parsely, coordinate breaking news, send mobile push alerts",Freelanced for various sites with varying rates; started current job with a salary of $34k/year and recieved a raise one year into the job.,BH Media,35500,,4,Virginia,Manager,
28,Copy Editor/Page Designer,BH Media,"$42,000 ",cis white female,18 years,Virginia,"Designing a variety of pages including front page/features/special sections. Supervising the copy desk. Editing copy. Writing headlines, cutlines, etc. Updating website. Editing and choosing photos. Pitching stories at afternoon budget meeting. Wire.",,BH Media,42000,,18,Virginia,Copy Editor/Page Designer,
29,Reporter,BH Media,"$36,057 ",cis bi white male,4,Virginia,Reporter on local government,"$30,000, reporter",BH Media,36057,,4,Virginia,Reporter,
31,reporter,BH Media,"38,000",,5,Virginia,"covering multiple beats, reporting, writing","Another BH property at 30,500",BH Media,38000,,5,Virginia,Reporter,
32,Reporter,BH Media Group,"$27,100 ",Cis female/white,1,NC,"reporting, writing, editing, photography",N/A,BH Media,27100,,1,NC,Reporter,
35,Legal reporter,Bloomberg Law,"$59,000 ",cis white man,"4 years in journalism, plus law degree",DC,"Reporting from court filings, attending court hearings, interviewing litigants and attorneys in cases, as well as other legal experts",,Bloomberg Law,59000,,3,"Washington, D.C.",Beat Reporter,
36,Reporter,Bloomberg Law,"$58,000 ",Cis white woman,2,"Washington, DC","Cover daily news, write enterprise stories, appear on radio and TV periodically","$57,000 starting salary, reporter",Bloomberg Law,58000,,2,"Washington, DC",Reporter,
37,Reporter,Bloomberg Law,"$69,950 ",bi cis white woman,2,"Washington, DC","report on legal filings, interviewing parties, attending live events and reporting from the field.",law degree,Bloomberg Law,69950,,2,"Washington, DC",Reporter,
38,Editor,Bloomberg Law,"$71,000 ","cis female, white",3,"Washington, D.C.",,,Bloomberg Law,71000,,3,"Washington, D.C.",Editor,
42,Staff Writer,BostInno (American Inno),"45,000",white cisgender woman,3,"Boston, MA",Report and write articles and daily newsletter. Edit articles. Write and edit social media copy. Manage interns. Field internship candidates. Speak at events and moderate panels.,"Permalance fact-checker: $23.50/hr. Editorial fellow: stipend of about $2,400/mo. Metro correspondent: about $12-13/hr.",BostInno (American Inno),45000,,3,"Boston, MA",Reporter,
43,Multiplatform Editor,Boston Globe,"$94,000 ",Male,13,Boston,"Copyediting, headline writing, basically just a rebrand of copyeditor for the web",,Boston Globe,94000,,13,Boston,Editor,
44,Reporter,BridgeTower Media,"$63,000 ",Cis white male,22,Boston,"One 1,500-word cover story, one 800-word inside story, blogging, podcasting","Senior editor, weekly newspaper/website editor, $43,000",BridgeTower Media,63000,,22,Boston,Reporter,
45,Reporter,Business Insider,"$65,000 ",white cis-female,3 years BI,NY-HQ,#NAME?,"42000 starting, bumped to 51000 then 55,000 in annual raises. Possible 15000 in bonus, usually ends about 65000",Business Insider,65000,,3,New York City,Reporter,
46,Senior Staff Writer,Business Insider,"$69,999 ",,"6 years FT at multiple publications, 4 years freelance",NY-HQ,#NAME?,"- $3,000+ permalance
- Freelance contributor, online and print, highly varied ($0.45-$1.00/word)",Business Insider,69999,,6,New York City,Senior Reporter,
49,Associate Producer,Business Insider,"$53,000 ",Asian American,2,New York,"Script writer, shooter, editor, animator, voice over artist","Associate Producer Year 1 - $50,700
Intern - $13/hour",Business Insider,53000,,2,New York City,Producer,
50,Reporter,Business journal in Colorado (can't disclose because it's too easy to track down),"$40,000 per year",White cis male,3,Fort Collins/Boulder,Reporting for daily online issue (2-5 stories per day) and monthly print edition (1-2 longforms per month),"2 newspapers in Iowa over 3 years- $27.5K for 2 years, $37k for 1 year",Business journal in Colorado,40000,,3,Fort Collins,Reporter,
54,Senior Editor,Bustle Digital Group,"$70,000 ",White cis female,4,New York,"Editing news and features, managing a small team, some writing","Full-time freelance writer at Hearst: $17/hour
Assistant editor at Hearst: $42k
Editor at Bustle Digital Group: $55k
Raise to $60k — no promotion
Promoted to Senior Editor at $63k
Asked for $75k when I found out colleagues were making that, given $70k",Bustle Media,70000,,4,New York City,Senior Editor,
56,Staff writer,Butler Media,"$26,000 ",cis white woman,2,Pittsburgh,"cover arts, entertainment, news, basically everything. Editing, proofreading, etc.","$7.25/hr, $13/hr",Butler Media,26000,,2,Pittsburgh,Reporter,
58,Reporter,BuzzFeed,"$71,000 ",,10 years full-time in journalism,LA,#NAME?,,BuzzFeed,71000,,10,Los Angeles,Reporter,
59,Reporter,BuzzFeed,"$82,500 ",,"5 years FT at BF, 1 year freelance",NY-HQ,#NAME?,,BuzzFeed,82500,,6,New York City,Reporter,
61,Video Fellow,BuzzFeed,$18 /hr,Woman CIS,,New York,produce/edit/shoot a video a week,,BuzzFeed,,x,,New York City,Video Producer,
68,Deputy Editor,BuzzFeed News,"$90,000 ",cis white man,7 years,SF,editing,"Editor at regional magazine: $60,000",BuzzFeed News,90000,,7,San Francisco,Deputy Editor,
71,News Curation Editor,BuzzFeed News,"$72,000 ",Cis White Man,6,New York City,"Running social channels, working with desks to prep copy for stories, broader social strategy.","- Web producer at local tv station in Buffalo, NY: $24,000 (+ overtime)
- Web producer at local tv station in Washington, DC: $45,000 (no overtime)
- Social media editor a digital brand backed by large news corporation: $65,000
- Starting salary at BF: $68,000",BuzzFeed News,72000,,6,New York City,Editor,
72,Senior Reporter and Editor,BuzzFeed News,"$115,000 ",Male / Black,7,New York,MANY,,BuzzFeed News,115000,,7,New York City,Reporter/Editor,
75,web producer,C-SPAN,"$54,800 ",cis-het female,6,"Washington, D.C.","write all website content, oversee live streams, write breaking news updates, source/choose photos","radio production assistant (entry-level) $31,600",C-SPAN,54800,,6,"Washington, D.C.",Digital Producer,
76,Staff Reporter,Call Newspapers,"26,000",Cis-Het white female,3,St. Louis,"Reporting on local government, breaking news stories, human interest stories, education, etc. Also assist in page layout and design. I do all the photos for our paper and the majority of photo editing. Also assist in editing copy.",,Call Newspapers,26000,,3,St. Louis,Reporter,
77,Digital producer,CBC,"$76,000 ",cis white female,7,Toronto,"Creating strategy for and posting to social media channels, pitching social and digital story treatments, writing web stories, editing audio/video, coordinating cross-promotion with other departments, addressing audience questions/comments.","Web editor, social media coordinator, associate editor, writer, reporter",CBC,76000,,7,Toronto,DIgital Producer,
78,Senior Reporter,CBC News,"$85,000 CAD ($64,200 USD)",cis white male,9,Toronto,"covering news and analysis for the web, radio, and tv; writing and hosting produced segments for broadcast (radio/tv); podcast appearances; live tv and radio hits; investigative reporting;",,CBC,64200,,9,Toronto,Senior Reporter,
81,Broadcast Associate,CBS News,$17.34/hr,Cis Asian female,3,New York NY,Produce VOs for broadcast; gather elements for producers' packages; transcribe interviews,"Executive assistant - $16.92/hr
News associate - $15/hr

Non-salaried positions (news associate, executive assistants, broadcast associates, production associates, etc.) make a ""living"" wage thanks to OT",CBS News,,x,3,New York City,Broadcast Associate,
83,Associate digital line producer,CBS News - KPIX,"$68,000 ",Cis white male,5,San Francisco,"Writing broadcast scripts, editing video, making graphics, pitching reporter stories, fill in producing hour streaming news broadcasts, being in charge of hourly wheel for replay of 24 hour cycle",,CBS News,68000,,5,San Francisco,Producer,
84,Digital Line Producer,CBS News - KPIX,"$85,000 ",Cis white male,5,San Francisco,"Stacking live hour streaming news show, writing scripts, editing video, leading associate producers, directors and talent, boothing live show, coordinating live updates and breaking news",,CBS News,85000,,5,San Francisco,Producer,
85,Photojournalist,Chattanooga Times Free Press,"35,000",cis white male,9,"Chattanooga, Tennessee","Photograph news, produce video, photograph for publication's magazines.","Hired at 30,000, raise to 35,000 after four years, previously 26,000 as photojournalist at Texarkana Gazette.",Chattanooga Times Free Press,35000,,9,"Chattanooga, Tennessee",Photojournalist,
86,Reporter,Chicago Tribune,"48,000",cis-het white female,6,Chicago,"Cover a major beat; pitch, report and write breaking and enterprise stories","41,000, police/courts reporter in large midwest suburban area",Chicago Tribune,48000,,6,Chicago,Reporter,
88,News Associate,CNBC,"$24/hr + overtime, about $50,000 annually",POC cis female,1,New York City,early graduate rotational program,,CNBC,50000,,1,New York City,News Associate,
91,Staff Photographer,CNHI Publishing Co.,"$32,500 ",cis white male,8 years,Massachusetts,"Capturing, Editing, Processing, Captioning, photos for daily newspaper. Occasionally creating galleries, and working on more long term projects.",,CNHI Publishing Co.,32500,,8,Massachusetts,Photojournalist,
94,Desk assistant,CNN,"$50,000 ",Cis white male,7,New York City,"-report out and write digital stories
-occasional field producing","Staff Reporter, Local Newspaper (unionized) $41,700",CNN,50000,,7,New York City,Reporter,
95,Associate Writer,CNN,"65,000 plus overtime and bonus",WOC,9,New York,Reporting medium length stories,"News Writer at The Verge, $50,000 no overtime/raise freeze",CNN,65000,,9,New York City,Reporter,
96,Writer,CNN,77500,cis white female,2,New York,"Break news, research, write stories","news assistant in hourly position in d.c.; content marketer (remote) $40,000",CNN,77500,,2,New York City,Reporter,
97,Field Producer,CNN,"110,000",Latinx Female,8,Los Angeles,"Producing live reports, pkgs, writing","Associate Producer, CNN NY: 66k + ~40k in OT 
Researcher, CNN Atlanta: 55k + ~20k in OT",CNN,110000,,8,Los Angeles,Field Producer,
98,Producer,CNN,"115,000","Male, White",10,New York,"Produce, Shoot, Edit Digital Video",,CNN,115000,,10,New York City,Producer,
99,Senior Writer,CNN,"$127,000 +bonus",cis white female,16,San Francisco,reporting and writing feature stories and breaking news,"Senior Editor (won't name publication to avoid outing myself); $98,000",CNN,127000,,16,San Francisco,Senior Reporter,
100,Associate Producer,CNN,51000,cis Asian woman,2,Atlanta,,,CNN,51000,,2,Atlanta,Producer,
101,News Assistant,CNN,$18.75 ,Non-binary/white,2,New York City,Newsgathering and producing,,CNN,,x,2,New York City,Digital Producer,
102,Associate Producer,"CNN (Digital, non-video)","$62,400 ","Female, Hispanic",4,New York,"Editing text, liaison with video teams, writing",,CNN,62400,,4,New York City,Producer,
103,Video Producer,College Athletics,"$53,000 ",,4,San Francisco Bay Area,Shoot & edit promotional video content for a power five university’s athletic program,"$42,000 at a small ad agency in a medium size Midwest city creating video & photo for clients",College Athletics,53000,,4,San Francisco,Producer,
104,Reporter,Colorado Public Radio,"$55,000 ",Bi Cis Latina,5,"Denver, CO","Gather and report news, produce stories",$39k at smaller NPR affiliate; $31k at a biz journal.,Colorado Public Radio,55000,,5,"Denver, CO",Reporter,
105,DIgital Producer,Colorado Public Radio,"$41,600 ",queer cis white woman,3,"Denver, CO",Produce stories for web. Edit and rewrite radio scripts for digital copy. Take and edit photos. Create graphics. Manage homepage. Schedule social. Write breaking news/weather/etc briefs.,"YourHub local news reporter @ Denver Post - $30,000",Colorado Public Radio,41600,,3,"Denver, CO",DIgital Producer,
106,Managing Editor,Colossal,"$54,500 ","Female, white",8,Brooklyn,"Running the entire company in addition to pitching and writing 3 articles a day, social media 12x a day, curating half the site, managing freelancers, lead on all marketing and special project management.",,Colossal,54500,,8,Brooklyn,Managing Editor,
107,Senior Producer,Comcast NBC Universal,"80,000",Male,8,"Los Angeles, CA","Produce television segments for live, daily TV show","Segment producer 70,000, Associate Producer 56,000",Comcast NBC Universal,80000,,8,"Los Angeles, CA",Senior Producer,
110,Senior community editor,Community News Service,"$40,000 ",white cis woman,9,NJ,"The sole editor of three monthly newspapers, so I'm responsible for just under 100 pages of content a month; reporting/writing news, features, web stories; photography, assigning and editing stories, newspaper layout, uploading print stories to the web, basically being an expert on the towns I cover; was doing all of this at one point while also managing and doing data entry for our massive events database","Editorial assistant, $10/hr; sports editor, $12/hr; community editor, $32,000-$35,000",Community News Service,40000,,9,NJ,Senior Editor,
116,Senior Visuals Editor,Conde Nast,"80,000","Male, White",14,New York,Researching and licensing images for multiple titles and projects. Liaising with photographers agents and studios. Understanding and making decisions regarding copyright. Managing monthly/project budgets. Misc. data admin and file management. Training and leading new members of the team.,71K - Senior Visuals Editor; 65K Visuals Editor,Conde Nast,80000,,14,New York City,Senior Editor,
118,editorial director,conde nast,245k,female,18,new york,"directing editorial team of 4+ people to produce print and integrated products on behalf of in-house brands, as well as branded content",175k + guaranteed bonus for similar role at Time Inc.,Conde Nast,245000,,18,New York City,Managing Editor,
121,Fact Checker,Conde Nast,"69,500",Cis-het black male,5,New York,Fact-checking articles and public-facing copy,,Conde Nast,69500,,5,New York City,Fact Checker,
123,Reporter,Conde Nast,"100,000",Cis white female,8,New York,Reporting and writing stories,Previous reporting job 50k and then 55k. Started current job at 75k,Conde Nast,100000,,8,New York City,Reporter,
124,Senior Editor,Conde Nast,"$60,000 ",Male,15,Washington DC,,,Conde Nast,60000,,15,Washington DC,Senior Editor,
125,Digital Editor,Conde Nast,"77,500",cis white woman,6,New York,"editing, managing freelancers, some administrative duties, occasional writing","75k in this role before slight bump, before this freelance and around 65k, before that 45k as associate editor",Conde Nast,77500,,6,New York City,Editor,
126,Assistant Editor,Conde Nast,"42,000 +OT",cis female POC,3,New York,,"editorial assistant at $35k for the same brand; raise one year after to $37,500",Conde Nast,42000,,3,New York City,Deputy Editor,
127,Editor-at-large,Conde Nast,"$120,000 ",F/W,,New York,,,Conde Nast,120000,,,New York City,Editor,
128,Senior Editor,Conde Nast,"$90,000 ",Cis white female,5,New York City,"Editing, assigning, managing full-time and freelance writers",,Conde Nast,90000,,5,New York City,Senior Editor,
132,Editorial Assistant,Condé Nast,Full time Freelance/$15 an hour,White Cis Female,2,New York,,,Conde Nast,,x,2,New York City,Editorial Assistant,
133,Audio Producer,Condé Nast,"62,000",cis white woman,5,New York,"Booking, recording, and editing one weekly podcast and two monthly podcasts.","Web Producer: 59,000",Conde Nast,62000,,5,New York City,Producer,
135,Producer,Condé Nast,"78,000","Female, CIS, South Asian",2.5,New York City,Video Producer,"Digital Producer, Associate Producer",Conde Nast,78000,,2.5,New York City,Producer,
138,Executive Assistant,Conde Nast,35K,cis-het black womxn,2.5,New York,"Manages the calendar of the EIC, arranges travel reservations (booking flights, cars, and hotels), answers phone, handles all incoming and outgoing mail, takes thorough notes and helps prepare EIC for meetings and events and podcasts, runs personal errands, arranges copying, faxing mail and a variety of other messenger services, maintains centralized contact lists, reports, records and spreadsheets, processes expense reports, reserves conference rooms, schedules staff-wide meetings, keeps office space tidy and organized, and coordinates catering services and team events, contributes editorially (building weekly newsletters and writing for the mag), manages relationships between staff members and external partners and industry influencers, advises and leads diversity and inclusion efforts at the brand, fosters productive working relationships with staff members and assists with various projects as necessary and a whole lot more.",,Conde Nast,35000,,2.5,New York City,Executive Assistant,
139,Associate Editor,Conservative news website,55000,White cis male,14,Washington DC,Write and edit copy,58000/Associate Managing Editor,Conservative news website,55000,,14,Washington DC,Edior,
140,Reporter,Consumer Reports,"$95,000 ",cis white male,10 years,Yonkers,product reviews and enterprise reporting,,Consumer Reports,95000,,10,Yonkers,Reporter,
143,Producer,COX Media,"$64,000 ",cis white female,7 years,Atlanta,writer and producer,"Started at $30,000 in CA as a producer",COX Media,64000,,7,Atlanta,Producer,
145,Reporter,DailyMail.com and DailyMailTV,"$65,000 ",White cis female,25,"New York, NY","Rewriting and formatting five stories a shift for the aggregate site, while also fronting a series of TV and web hits. Shifts are swing shifts staring at 8am until 5:30pm and, on rotating weeks, starting at 5pm and leaving past 2am.","Senior News Director, Assignment Manager, Senior Reporter: $97k, $85k and $80 respectively",Daily Mail,65000,,25,New York City,Reporter,
146,Assistant Editor,Del Val Media,"$26,000 ","Female, White",1,"Marlton, NJ","write blurbs and articles, research information, head of interns, assist all editors",Right out of college,Del Val Media,26000,,1,"Marlton, NJ",Deputy Editor,
147,Digital Producer,Detroit Free Press,"$42,000 ",Cis-het woman / Black,2,Detroit,"Social Media Management, Homepage management, editing, writing, engagement",intern NYT $30/HR,Detroit Free Press,42000,,2,Detroit,Digital Producer,
148,Reporter,Digital First Media,$16.25/hr,Female/White,10,Chico,City reporter. Often required to take my own photos.,"Previously: Regional business magazine associate editor at $22/hr, Currently freelancing for $50-100+ an article/.50-.60 cents per word.",Digital First Media,,x,10,Chico,Reporter,
149,Page designer,Digital First Media,"38,000",Cis white female,7,Colorado,Page design and copy editing for multiple publications,,Digital First Media,38000,,7,Colorado,Designer/Developer,
151,Executive Producer,Disney,"$77,000 ",Straight Female,6,"Fresno, CA",,,Disney,77000,,6,"Fresno, CA",Executive Producer,
156,Editorial Director,Dotdash,"$115,000 + 15% annual bonus",Female / White,7,New York,"Overseeing all editorial workflows, from assigning, recruiting writers, managing junior editors, etc.",,DotDash,115000,,7,New York City,Managing Editor,
157,Senior editor,DotDash,82500,White cis male,4,New York,"Assign/edit special projects, write/edit/post articles, lead ideation for special projects and sales initiatives; managed 2 f/t staff",,DotDash,82500,,4,New York City,Senior Editor,
160,Lifestyle Editor,Eagle Media,"34,100",Female/Caucasian,5.5,"Seneca, SC","Best reporting, special projects, feature story assignment, basic newsroom management","28,000 - 32,100 - current",Eagle Media,34100,,5.5,"Seneca, SC",Editor,
162,Senior Editor,Engadget,"$76,000 ",cis white male,9 years in industry / 5 years at Engadget come March,SF,"produce 2 columns a week, produce 2 feature length (1600-2000 word) stories a week, at-need conference/event coverage (ie CES, GDC, E3)","unpaid intern, Editorial Assistant, Night Editor, Staff Writer, Associate Editor - I think I was making around $35K - 40K when I was an EA, bumped up to around $55K - 60K by the time I left my last outlet, started at Engadget at ~$60k",Engadget,76000,,9,San Francisco,Senior Editor,
164,Website Producer,Family-owned newspaper,"32,000",Cis white female,1,Pennsylvania,,,Family-owned newspaper,32000,,1,Pennsylvania,Digital Producer,
167,Reporter,Fast Company,65000,Cis white male,8,"New York, NY",Writing and editing content,,Fast Company,65000,,8,New York City,Reporter,
169,Staff Writer/Associate Editor,FCW/1105 Media Inc.,"$48,000 ",GNC white AFAB,1,DC,Writing/Reporting/Editing,,FCW/1105 Media Inc.,48000,,1,"Washington, D.C.",Reporter/Editor,
170,Marketing Coordinator,Foreign Affairs,"49,000",Cis-Female-Caucasian,3,New York City,Create and execute customer subscription campaigns,Customer Experience Specialist at 65K/yr,Foreign Affairs,49000,,3,New York City,Marketing Coordinator,
171,Community reporter,Freelance,"$19,000/year (but wildly variable)",Female/white,29,Michigan,"Reporting, writing, photography, cross-platform media promotion","Editor of a weekly, reporter, layout/copy editor",Freelance,19000,,29,Michigan,Community Reporter,
172,Associate Editor,Future,"58,500",Nonbinary/White,5,New York City,"Editing, writing, e-commerce, social media",,Future,58500,,5,New York City,Editor,
173,Staff Editor,Future plc company,"$57,500 ",cis white woman,8,Los Angeles,"Copyediting all articles and making sure they adhere to style and formatting guidelines, running the small team of editors we have, working to fix our editing process structurally, helping with coverage, writing where needed",,Future plc company,57500,,8,Los Angeles,Editor,
175,Associate social media editor,Futurism,"$50,000 ",cis white female,1,New York,"Managing social media accounts with millions of followers, distributing flow of daily articles and design content across platforms, copy editing blogs, optimizing seo and meta data, compiling and managing daily newsletter, assisting publisher and marketing department with sponsored campaigns, moderating audience across platforms, increasing audience engagement, data analytics & analysis, pitching & writing blogs, designing social visual assets, among other tasks.","~$10-15/hr at four to five other paid media internships in magazines, marketing, and book publishing.",Futurism,50000,,1,New York City,Editor,
176,Senior Editor,G/O Media,"$80,000 ",,10+,NY-HQ,#NAME?,,G/O Media,80000,,10,New York City,Senior Editor,
178,social media editor,g/o media,"64,000",cis white woman,3,"New York, NY",manages all social for a large site multiple distinct verticals,,G/O Media,64000,,3,New York City,Editor,
179,Editor-in-chief,G/O Media,"$150,000 ",Cis het white male,14,New York,,,G/O Media,150000,,14,New York City,Editor in Chief,
185,senior reporter,G/O Media,"82,000",cis white woman,5,New York,write 5 articles a week/bimonthly reported features,,G/O Media,82000,,5,New York City,Senior Reporter,
186,Senior Reporter,G/O Media,"$72,000 ",Cis male/ White,6,New York,,,G/O Media,72000,,6,New York City,Senior Reporter,
188,Reporter,Galveston County Daily News/Southern Newspapers Inc,"31,000",Male/White,8,Galveston,"Writing, interviewing, planning for stories, responsible for writing at least one but typically 2-4 articles and briefs every day.",,Galveston County Daily News/Southern Newspapers Inc,31000,,8,Galveston,Reporter,
190,Reporter,Gannett,"39,500","cis female, mixed race",2.5,Arizona,Daily beat reporting,,Gannett,39500,,2.5,Arizona,Reporter,
191,Reporter,Gannett,63750,cis female/black,8,Tennessee,"reporting and writing a range of dailies and longer enterprise stories, occasional photography","Senior writer -- 52K, staff writer -- 47k, reporter -- 42K, reporter -- 29K",Gannett,63750,,8,Tennessee,Reporter,
192,Digital Producer,Gannett,"$45,000 ",CIS Hispanic woman,4,Tennessee,,"$36,000 / Digital producer at Austin, Texas, TV station / annual 3% raise",Gannett,45000,,4,Tennessee,Digital Producer,
193,Reporter,Gannett,"$45,000 ",cis white female,7,Louisville,Enterprise/daily reporting,,Gannett,45000,,7,Louisville,Reporter,
194,Print planning producer,Gannett,"$40,000 ",Cis-het white woman,2.5,Kentucky,"Plan daily newspaper, copy edit, check headlines, some web producing","Part-time at metro daily in Florida while in school ($14/hour), intern at LA Times ($15/hour)",Gannett,40000,,2.5,Kentucky,Print Producer,
195,visual producer,gannett,"35,000",WOC,2,des moines ia,"filming, photographing, video editing, photo editing, video producing, interviewing, reporting","interning, freelancing",Gannett,35000,,2,des moines ia,Producer,
196,Wire/copy editor,Gannett,50000,Male,5,Louisville,"Copy edit wire stories, write headline and cutlines",,Gannett,50000,,5,Louisville,Copy Editor,
200,Staff Photographer/Videographer,Gannett,"$18.27/hr/ ~ $38,000/year",Asian male,5,South Carolina,"Covering daily assignments, high school/college sports","$35,000/year",Gannett,,x,5,South Carolina,Photo/Video Journalist,
201,Reporter,Gannett,"$36,400 ",Cis white female,4,South Carolina,Daily beat reporting,,Gannett,36400,,4,South Carolina,Reporter,
202,Photographer,Gannett,"36,500",,9,"Phoenix, AZ","Shoot, edit photos and video.",,Gannett,36500,,9,"Phoenix, AZ",Photojournalist,
203,Reporter,Gannett,"$39,000 ",cis white woman,3,Kentucky,"Beat reporter for a local newspaper, covering local government","Hired as breaking news reporter at $35,000.",Gannett,39000,,3,Kentucky,Reporter,
205,Reporter,Gannett,"$47,000 ",cis white male,8,NJ,Beat includes a few statewide issues and a few local municipalities,"Started at $42,000 in 2015 at Gannett. $33,000-$36,000 at local Advance publication",Gannett,47000,,8,NJ,Reporter,
206,Reporter,Gannett,"$45,000 ",Cis white female,3,Tennessee,Beat reporter; file 25-30 stories monthly,,Gannett,45000,,3,Tennessee,Reporter,
207,Reporter,Gannett,"$40,800 ",cis white male,3,LA metro area,"Write articles for print and online, pitch story ideas, occasionally shoot photos/video to accompany pieces.",Worked part-time on weekends for $15/hr,Gannett,40800,,3,Los Angeles,Reporter,
208,Producer,Gannett,"$38,000 ",cis black female,10,Phoenix,"Put together and run monthly community events, reporting, write features, columns, marketing, community relations","Freelance reporter 4 years, staff reporter 5 years. Starting on staff salary $32k/yr in Atlanta, now at $38k/yr in Phoenix.",Gannett,38000,,10,Phoenix,Producer,
209,General Assignment Reporter (Features),Gannett/USA Today,"35,000",White female,1,Kentucky,,,USA Today,35000,,1,Kentucky,Reporter,
210,Staff Photographer,Gannett/USA Today,"$40,000 ",Cis white woman,5,Indiana,produce photos and video for the daily newspaper,"$29,500/Staff photographer/West Virginia newspaper",USA Today,40000,,5,Indiana,Photojournalist,
213,Sports/Education reporter,Gatehouse media,~$27000 after taxes,white male,5,North Carolina,Mixture of beat reporting and sports coverage/features.,,Gatehouse media,,x,5,North Carolina,Beat Reporter,
214,Reporter,GateHouse Media,"$24,000 per year after taxes",Cis white hetero woman,2.5,Texas,My beat and others,"Made almost as much working in service industry, have graduate degree",GateHouse Media,,x,2.5,Texas,Reporter,
